Date,Price
2016/5/4,1210.3663
2016/5/5,1210.3663
2016/5/6,1210.3663
2016/5/9,1210.3663
2016/5/10,1210.3663
2016/5/11,1210.3663
2016/5/12,1210.3663
2016/5/13,1210.3663
2016/5/16,1210.3663
2016/5/17,1210.3663
2016/5/18,1210.3663
2016/5/19,1210.3663
2016/5/20,1210.3663
2016/5/23,1210.3663
2016/5/24,1210.3663
2016/5/26,1153.828694
2016/5/27,1210.3663
2016/5/30,1210.3663
2016/6/30,1214.981615
2016/7/1,1214.981615
2016/7/4,1214.981615
2016/7/5,1154.982522
2016/7/6,1154.982522
2016/7/7,1154.982522
2016/7/8,1212.673957
2016/7/11,1285.365165
2016/7/12,1388.055919
2016/7/13,1373.056146
2016/7/14,1373.056146
2016/7/15,1441.132039
2016/7/18,1450.362668
2016/7/19,1450.362668
2016/7/20,1456.131812
2016/7/21,1527.669191
2016/7/22,1546.13045
2016/7/25,1653.436518
2016/7/26,1572.66851
2016/7/27,1572.66851
2016/7/28,1572.66851
2016/7/29,1572.66851
2016/8/1,1651.128861
2016/8/2,1651.128861
2016/8/3,1651.128861
2016/8/4,1570.360852
2016/8/5,1651.128861
2016/8/8,1592.283597
2016/8/9,1671.897777
2016/8/10,1671.897777
2016/8/11,1671.897777
2016/8/12,1671.897777
2016/8/15,1671.897777
2016/8/16,1592.283597
2016/8/18,1212.673957
2016/8/22,1212.673957
2016/8/23,1588.822111
2016/8/24,1683.436064
2016/8/25,1730.743041
2016/8/26,1709.974124
2016/8/29,1704.204981
2016/8/30,1759.588758
2016/8/31,1847.279739
2016/9/1,1306.134081
2016/9/2,1306.134081
2016/9/5,1306.134081
2016/9/6,1306.134081
2016/9/7,1847.279739
2016/9/8,1847.279739
2016/9/9,1847.279739
2016/9/12,1847.279739
2016/9/13,1847.279739
2016/9/14,1847.279739
2016/10/26,1085.752801
2016/10/27,1139.982749
2016/11/9,1015.369251
2016/11/10,1015.369251
2016/11/18,1130.75212
2016/11/21,1243.827332
2016/11/22,1367.287002
2016/11/23,1424.978437
2016/11/24,1468.823927
2016/11/25,1427.286094
2016/11/28,1469.977756
2016/11/29,1471.131585
2016/11/30,1434.209066
2016/12/1,1473.439242
2016/12/2,1458.439469
2016/12/7,1498.823473
2016/12/8,1533.438334
2016/12/9,1519.59239
2016/12/12,1524.207704
2016/12/13,1518.438561
2016/12/14,1488.439015
2016/12/15,1542.668964
2016/12/16,1546.13045
2016/12/19,1514.977075
2016/12/20,1521.900047
2016/12/22,1255.365619
2016/12/26,1523.053876
2016/12/27,1503.438788
2016/12/28,1460.747126
2016/12/29,1502.284959
2016/12/30,1494.208158
2017/1/2,0
2017/1/3,1494.208158
2017/1/4,1488.439015
2017/1/5,1475.746899
2017/1/6,1475.746899
2017/1/9,1476.900728
2017/1/10,1550.745764
2017/1/12,1842.664424
2017/1/13,1842.664424
2017/1/17,1503.438788
2017/1/18,1577.283824
2017/1/19,1526.515362
2017/1/20,1614.206343
2017/1/23,1656.898004
2017/1/24,1728.435383
2017/2/3,1776.896188
2017/2/8,1812.664878
2017/2/9,1741.127499
2017/2/10,1671.897777
2017/2/13,1736.512184
2017/2/15,1721.512411
2017/2/16,1718.050925
2017/2/17,1669.59012
2017/2/20,1697.282009
2017/2/21,1641.898231
2017/2/22,1660.35949
2017/2/24,1661.513319
2017/2/27,1688.051379
2017/3/2,1668.436291
2017/3/3,1668.436291
2017/3/8,1616.514
2017/3/10,1945.355178
2017/3/13,1655.744176
2017/3/14,1686.89755
2017/3/15,1694.974351
2017/3/16,1660.35949
2017/3/20,1700.743495
2017/3/21,1706.512638
2017/3/23,1709.974124
2017/3/27,1703.051152
2017/3/28,1696.12818
2017/3/30,1721.512411
2017/4/5,1752.665786
2017/4/6,1692.666694
